timestamp,simple-path,time
"2022-05-31 19:33:41.174","/master/welcome",7013
"2022-05-31 19:33:41.928","/master/welcome",662
"2022-05-31 19:33:44.705","/master/sign-in",2708
"2022-05-31 19:33:46.135","/master/welcome",608
"2022-05-31 19:33:47.947","/inventor/chimpum/list",1611
"2022-05-31 19:33:49.664","/inventor/chimpum/create",1637
"2022-05-31 19:33:53.202","/master/welcome",515
"2022-05-31 19:33:53.763","/master/welcome",509
"2022-05-31 19:33:54.429","/master/sign-in",565
"2022-05-31 19:33:55.781","/master/welcome",583
"2022-05-31 19:33:56.512","/inventor/chimpum/list",577
"2022-05-31 19:33:57.714","/inventor/chimpum/create",557
"2022-05-31 19:34:01.214","/master/welcome",492
"2022-05-31 19:34:01.745","/master/welcome",489
"2022-05-31 19:34:02.37","/master/sign-in",569
"2022-05-31 19:34:03.693","/master/welcome",595
"2022-05-31 19:34:04.469","/inventor/chimpum/list",591
"2022-05-31 19:34:05.104","/inventor/chimpum/create",560
"2022-05-31 19:34:08.461","/master/welcome",387
"2022-05-31 19:34:08.947","/master/welcome",454
"2022-05-31 19:34:09.596","/master/sign-in",575
"2022-05-31 19:34:10.904","/master/welcome",583
"2022-05-31 19:34:12.761","/inventor/chimpum/list",1603
"2022-05-31 19:34:14.025","/inventor/chimpum/create",621
"2022-05-31 19:34:17.358","/master/welcome",408
"2022-05-31 19:34:17.762","/master/welcome",372
"2022-05-31 19:34:18.422","/master/sign-in",564
"2022-05-31 19:34:19.708","/master/welcome",578
"2022-05-31 19:34:20.428","/inventor/chimpum/list",565
"2022-05-31 19:34:21.058","/inventor/chimpum/create",553
"2022-05-31 19:34:24.446","/master/welcome",480
"2022-05-31 19:34:25.107","/master/welcome",609
"2022-05-31 19:34:25.725","/master/sign-in",564
"2022-05-31 19:34:26.993","/master/welcome",580
"2022-05-31 19:34:27.73","/inventor/chimpum/list",566
"2022-05-31 19:34:28.493","/inventor/chimpum/create",588
